num,name,district,Province Project,province,type,lat,long,gender,startDateName,startDate,status,bricks,houses,schools,co2,jobs_prod,job_constr,jobs,Last updated,description
155,Dhan Bahadur Buda,Bajura,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.35680671,81.31101056,Male,Jul.18,01.07.18,Running,85000,34,,257.55,9,11,20,21.02.21,Dhan Bahadur Buda was the first one to establish in Bajura district and did really well initially. Unfortunately he passed away in 2020 leaving his factory in the able hands of his friends who is supporting Dhan's family in running the business
156,Santosh Gautam,Taplejung,Province 1,Province No. 1,Entrepreneur,27.33724806,87.72325146,Male,Jul.18,01.07.18,Running,14000,6,1,42.42,6,3,9,25.02.21,"Santosh heard about CSEB from his friend and together they visited Build up Nepal  to learn more knowledge about this technology. Initially he struggled a lot to get approval from the local government and then COVID lockdown, but are now doing well."
157,Akshay Angbuhang,Taplejung,Province 1,Province No. 1,Entrepreneur,27.34494854,87.67261136,Male,Aug.18,01.08.18,Running,20000,8,,60.6,5,3,8,21.02.21,"Akshay is a respected politician and a businessman who wanted to introduce eco friendly technology in local governement. He was running a hotel, school and Grocery center before starting this business"
158,Sapana Thapa,Lamjung,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,28.2765491,84.3542049,Female,Feb.19,01.02.19,Running,85000,34,,257.55,6,13,19,25.02.21,Sapna Thapa is a strong independent women who lost her parents at the age of 13. She is working with her business partner Binod Maharjan and is focusing on the need for low cost housing in the area. She is also supporting her siblings education and other expenses. She has a long-term plan to construct homestays with this CSEB once her siblings have completed their education.
159,Parbati Sunar,Dhading,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.8033266,84.7508043,Female,Jan.18,01.01.18,Struggling,150000,60,,454.5,,15,15,01.03.21,
160,Bikash Khatiwada,Kathmandu,Province 3 - Bagmati,Bagmati Province,Youth Entrepreneur,27.6903167,85.2204851,Male,Feb.19,01.02.19,Running,230000,92,,696.9,6,34,40,01.03.21,"Bikas and his 3 friends started this CSEB enterprise after seeing the demand surge after the earthquake in 2015. They waited for the reconstruction authority to approve the bricks and took advantage of a growing market. They were one of the first commercial entrepreneurs to use CSEB in a Public buildings.<br />
"
161,Badri Bahadur Dhakal,Tanahu,Province 4 - Gandaki,Gandaki Province,Returning Migrant,28.0112975,84.4277703,Male,Dec.18,01.12.18,Running,60000,24,,181.8,1,10,11,25.02.21,"Badri Dhakal and his father were already in construction business and decided to start their own CSEB production. Badri after 3 years in Saudi Arabia, returned back and started helping his father with his business and expanded rapidly after earthquake."
162,Bhuvan Kumari Rupakheti,Dhading,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.7705142,84.8463673,Female,Feb.19,01.02.19,Running,10600,4,,32.118,,2,2,03.03.21,"Bhuvan kumari was looking after the household responsibilities before starting this business. Bhuvan and her husband Pramod spoke about this business and decided that this can be managed alongside the regular household work. After starting, the enterprise did not perform well as the marketing for the product lacked. Bhuvan's husband, Pramod also started promoting these bricks and soon started supporting Bhuvan full time in the business. Together they make a strong team.<br />
"
163,Birendra khadka,Achham,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.03932174,81.25626067,Male,Jun.19,01.06.19,Closed / Sold,1700,1,,5.151,,,0,27.02.21,"Birendra Khadka was working as an engineer who invested in the machine after getting some good feedback from the clients. He has shut down after COVID lockdown and unable to recover has gone back to work as a ward engineer.<br />
"
164,Basanta Kumar Rai,Okhaldhunga,Province 1,Province No. 1,Youth Entrepreneur,27.3618654,86.3782198,Male,Apr.19,01.04.19,Running,30000,12,,90.9,6,7,13,21.02.21,Basanta was working as a farmer and after that went to Malaysia for 5 years before returning with a view to start his own enterprise. He partnered with his childhood friend and together they started this business.
165,Bal Bdr Gurung,Manang,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.666667,84.016667,Male,Sep.19,01.09.19,Running,22000,9,,66.66,6,7,13,22.02.21,"Bal  Bahadur Gurung was a hotel owner and wanted to diversify to construction sector. After watching our videos on YouTube, he contacted Build up Nepal and immediately booked a machine. His enterprise got good response was given by the government and as well as it is able to create job opportunities locally.<br />
"
166,Rit Bahadur Thakuri,Sindhuli,Province 3 - Bagmati,Bagmati Province,Entrepreneur,26.9713287,86.2666463,Male,Jun.19,01.06.19,Running,9300,4,,28.179,1,2,3,03.03.21,"Rit Bahadur khatri started the business with an intent to hand it over to his son Sagar in the future. Sagar is working as a teacher while also operating the business. They plan to expand the business and add other construction materials like tiles, marbles as well.<br />
"
167,Narayan Timilsina,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.831355,80.8986502,Male,May.19,01.05.19,Running,150000,60,,454.5,5,26,31,21.02.21,"Narayan Timilsina was producing Fabrics and exporting. Narayan came to know about the CSEB business from his friends and after searching on YouTube, contacted Build Up Nepal and established the factory. He says because the financial risk was so low, he was motivated to start this business without having any prior knowledge in construction sector."
168,Siddhant Fauzdar,Nawalparasi,Province 5,Lumbini Province,Entrepreneur,27.63290322,83.7173508,Male,Sep.19,01.09.19,Struggling,8000,3,1,24.24,0,2,2,25.02.21,"Siddhant Fauzdar, 34 returned from Qatar in 2014 and started a stationary business in Bardaghat and after investing his profit in a land nearby, he was advised by his friend to start an Interlocking brick factory. Because he was alone and his wife being in a full time job at a bank, he has not been able to fully focus on this business. He still has stock for CSEBs and is planning to sell his company. He approached some of our other entrepreneurs in his local area and he is confident that he will be able to sell this business successfully in the coming days. "
169,Rita Shrestha,Kathmandu,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.6630019,85.2774207,Female,Jul.19,01.07.19,Running,7200,3,,21.816,1,1,2,03.03.21,"Hour construction owned by Rita Shrestha is a construction company. The CSEB enterprise is run by Jenis Maharjan, her brother and his friends. After initial hiccups, they decided to move their enterprise in Bara where the government Janata Aawas program for low-cost housing gave them a really good market."
170,Bishnu Bahadur Thapa,Baglung,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.27879318,83.58110002,Male,Aug.19,01.08.19,Running,35000,14,,106.05,10,7,17,27.02.21,"Bishnu Thapa returned from Korea after consultation with friends, decided to start CSEB enterprise. He has a very big demand in the area and says the big advantage is that he can produce bricks with local materials and manpower."
171,Punam kumari Paudel,Chitwan,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.6722983,84.44034958,Female,Nov.19,01.11.19,Running,2000,1,,6.06,,,0,01.03.21,
172,Radha Khatri,Nawalparasi,Province 5,Lumbini Province,Husband wife,27.6271937,83.6454831,Male & Female,Nov.20,01.11.20,Running,4000,2,,12.12,7,1,8,26.02.21,"Radha and her husband started this enterprise after seeing the demand for CSEB bricks rise in their area. They enquired about the business and with the help of social media, they reached Build up Nepal and decided to go ahead and start production.<br />
"
173,Bhim Kala Bhandari,Nawalparasi,Province 5,Lumbini Province,Husband wife,27.5596012,83.7497936,Male & Female,Sep.19,01.09.19,Running,140000,56,,424.2,8,30,38,25.02.21,Bhim Kala Bhandari was a housewife and was taking care of four children when Husband Bishnu was away for foreign employment. After returning Bishnu started his own transport business. He consulted Bhim kala who was eager to start the enterprise and together they have created a very good market for CSEB in the area. Bishnu expresses content on the fact that this business has made him a business owner and given his wife a very good reason to indulge in business that can be operated along with household responsibilities.
174,Ram Bahadur Baniya,Bajura,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.35418837,81.31126805,Male,Jan.20,01.01.20,Running,30000,12,,90.9,9,8,17,21.02.21,"Social worker and politician with very good influence in the district level. After learning about the advantages of CSEB interlocking bricks he decided to start his enterprise with the support from Build up Nepal. After a very good start, his enterprise was hit with flood that destroyed his machine, his stock and all the trained workers left. After almost 4 months, they have recovered well and are starting to produce again.<br />
"
175,Bijay Subba Sambahamphe,Terhathum,Province 1,Province No. 1,Entrepreneur,27.1508125,87.5989909,Male,Dec.19,01.12.19,Struggling,,,,0,0,0,0,21.02.21,Bijay Subba using Interlocking bricks to make his own house got very inspired and decided to establish his own enterprise. He was running a construction company from before and is also active in politics in his area. 
176,Om kumari Chaudhary,Nawalparasi,Province 5,Lumbini Province,Husband wife,27.648641,84.1329595,Male & Female,Jul.20,01.07.20,Running,11000,4,,33.33,6,7,13,26.02.21,"Om kumari Chaudhary is a farmer of 35 years old. She belongs in middle class family. She lives with mother in-law, husband and their two daughters. Om kumara wanted to start a new business in order to support her family and was looking for different opportunities. Finally she found CSEB technology which is expanding rapidly in Western part of Nepal."
177,Dr. Dharma Shrestha,Bardiya,Province 5,Lumbini Province,Entrepreneur,28.21716067,81.33323123,Male,Nov.20,01.11.20,Running,12000,5,,36.36,7,4,11,23.02.21,"Medical Doctor by profession, Dr. Dharma Shrestha planned to open up a hospital in Jumla using CSEB. He has big plans to invest in the business and trading the locals to help complete his dream project in the area. Upon completion of his hospital, he plans to handover the machine to the locals who can then build their own houses and take the reconstruction forward."
178,Shankar Silwal,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.8640398,84.8463673,Male,Mar.20,01.03.20,Running,105000,50,,318.15,5,8,13,27.02.21,"CSEB is a very popular product in construction in Nalang area of Dhading. Inspired with the growth of the technology, Shankar silwal, 37 decided to invest in the CSEB business. <br />
 He hired trained staffs who knew how to build with these bricks and started taking big contracts from the local level. "
179,Ram Bahadur Rakaskoti,Baglung,Province 4 - Gandaki,Gandaki Province,Returning Migrant,28.2448313,83.2169857,Male,Sep.20,01.09.20,Running,10000,4,,30.3,8,3,11,22.02.21,"Ram Raskoti is entrepreneur who belongs in middle class family. He already had shop in Khaular but wanted to start his new business to that he can support family with money. He was inspired with CSEB technology, which becoming popular Western part of Nepal and started his enterprise right after the COVID lockdown opened. "
180,Binod Lama,Humla,Province 6 - Karnali,Karnali Province,Entrepreneur,29.9862834,81.8333656,Male,Jun.20,01.06.20,Closed / Sold,,,,0,,,0,23.02.21,"Binod was running a small hotel in Humla, a very remote area. After finding out from his friends about the low investment nature of the business, he decided to establish one unit in his backyard but because of the cost required to operate this, decided to stop production and focus on the hotel business.<br />
"
181,Arjun Bahadur Shrestha,Rukum,Province 5,Lumbini Province,Entrepreneur,28.60011614,82.54752784,Male,Oct.20,01.10.20,Running,3000,1,,9.09,6,1,7,01.03.21,"Arjun Shrestha, 41, before starting CSEB business was running a electric shop in the Rukum Headquarters. Before starting his own enterprise, he visited one of the entrepreneur who was running his enterprise in the same district. After getting a very positive feedback, Arjun decided to add CSEB machine. He is now producing CSEB in addition to his electric business. "
182,Daan Singh Karki,Baitadi,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.51633799,80.4676903,Male,Jul.20,01.07.20,Running,30000,12,10,90.9,6,17,23,21.02.21,"Dan singh Karki is a teacher of college. He wants to create job for his villagers so that they can earn money in their own village. So he starts to search local base business. During his research, he found CSEB technology is environment friendly, affordable, earthquake resistance, easy workability, durability and can create local job for many villagers. His research also shows business of CSEB/Interlocking brick will be the best for him to create local job and earn money from it.<br />
"
183,Prabin Bista,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.68028763,80.35097451,Male,Oct.20,01.10.20,Running,5000,2,,15.15,5,2,7,23.02.21,"Prabin Bista is a middle-class family person who is basically involved in farming and selling cash crops in village . Owing a huge amount of land he is more over involved in sugarcane industry. After learning about this technology, he was motivated enough to introduce this technology in this village.  He was interested in starting his own business in this technology.  He is very happy on this CSEB technology and motivated to start the new business.<br />
"
184,Hari Bahadur Bhandari,Nawalparasi,Province 5,Lumbini Province,Entrepreneur,27.7283893,84.3647199,Male,Sep.20,01.09.20,Running,20000,8,1,60.6,4,9,13,27.02.21,Hari Bhandari has a ready mix concrete factory and were supplying concrete on bulk amount. After learning about the CSEB technology and He was interested in starting his own business in this technology. He is very happy on this CSEB technology and motivated to start the new business.
185,Suraj Shrestha,Tanahu,Province 4 - Gandaki,Gandaki Province,Entrepreneur,27.9170425,84.406761,Male,Aug.20,01.08.20,Running,5000,2,,15.15,5,2,7,27.02.21,"Suraj Shrestha and Ghanshyam Shrestha, two brothers who invested in the business after successfully running block and crushers enterprise in Tanahun. Both of them together have a combined experience of over 45 years in construction business mostly as contractors. They now plan to use that experience to help make more money by using their own bricks in their construction works."
186,Radha Kumari Thapa,Bajhang,Province 7 - Sudurpashchim,Sudurpashchim Province,Female Entrepreneur,29.4499947,80.9801494,Female,Oct.20,01.10.20,Running,10500,4,,31.815,5,3,8,21.02.21,"Radha is a young active lady involved in teaching profession. With a aim to have extra income and enhance the availability of building materials, she started CSEB factory in her village. Along with her husband Prakash who is involved in active politics are expanding their CSEB business through their own connection to promote the technology in their village."
187,Bishnu Acharaya,Dang Deokhuri,Province 5,Lumbini Province,Entrepreneur,27.9903597,82.3017728,Male,Aug.20,01.08.20,Running,2000,1,,6.06,6,1,7,23.02.21,"Bishnu Acharya is a business man running different  business of land dealing and resorts. He and group  of friends have invested in a large area of land and have lots of structure to be made ni that area. For  that sole purpose and promoting a new technology  they have invested in the CSEB business which  promotes new technology and also provides jobs to  the local tharu people. Their initial plan is to build  with this technology in their own areas and promote it in the area as per the interest in local about the technology.<br />
"
188,Nir bahadur shrestha,Sarlahi,Province 2,Province No. 2,Entrepreneur,27.001388,85.4839604,Male,Sep.20,01.09.20,Running,34000,14,,103.02,6,11,17,25.02.21,"Nir Bahadur Shrestha, 43 is a ward member in one of the municipalities in Sarlahi. An entrepreneur from a rapidly growing city, Nir Bahadur Shrestha wanted to train his own people to make use of CSEB and the opportunity to use them in the government projects. Nir Bahadur Shrestha even though has no previous experience in the construction sector, with his experience as a social worker and entrepreneur is confident that he can yield good results from his investment in the coming days.<br />
"
189,Mahendra Tharu,Bardiya,Province 5,Lumbini Province,Entrepreneur,28.3102323,81.4278984,Male,Oct.20,01.10.20,Running,35000,14,1,106.05,5,12,17,23.02.21,Mahendra Tharu is young and energetic entrepreneur. His main business was farming.  He belongs to a very backward community and decided that CSEB could help people in his area build houses that they could actually afford and give him a good source of income. 
190,Tek Bdr Kuwar,Gulmi,Province 5,Lumbini Province,Entrepreneur,27.9491733,83.4163226,Male,Sep.20,01.09.20,Running,9000,4,,27.27,5,3,8,24.02.21,42 years old Tek Bahadur Kuwar is a driven entrepreneur from a middle class family. Tek Bahadur already had workshop and truck but wants to start his new business to that he can support family with money so he starts to work out on new business ideas. Finally he found CSEB technology which is expanding rapidly in his area.
191,Tara Prasad Pandey,Achham,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.1999482,81.2797779,Male,Sep.20,01.09.20,Running,2500,1,,7.575,4,1,5,23.02.21,Ganesh Saud and Tara Pd Pandey togther have established Target ’TG’ Block Udhyog. Ganesh Saud had stayed in japan working there but after the COVID Pandemic he returned to village and wanted to do something for his village and for his community. His partner Tara pd. Pandey is a Sub Engineer working in DLPIU as a technical person. He was already familiar with the technology and they came together to start their CSEB business.
192,Bhim Saud,Achham,Province 7 - Sudurpashchim,Sudurpashchim Province,Youth Entrepreneur,29.23,81.46,Male,Sep.20,01.09.20,Running,20000,8,1,60.6,7,11,18,27.02.21,Bhim Saud and Surat Saud are both working for the ward offices and after applying successfully in a local level support program to invest in their enterprise were able to start their enterprise in Accham. Both of them are very well connected and are confident that they can make their business work by engaging more in the government projects. They plan to take up construction contracts after they have learned everything about CSEB
193,Navaraj Acharaya,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6694276,84.3793197,Male,Sep.20,01.09.20,Running,8000,3,,24.24,5,3,8,27.02.21,"Navraj Acharya, 49 is a migrant returnee who was running his own wood crafting enterprise in Chitwan when he came across our Build up Nepal. He alread the land and a team ready to get trained, and decided to add a brick making machine and started the business right after the COVID lockdown was opened."
194,Tek Bahadur Bista,Dadeldhura,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.3087981,80.5910567,Male,Sep.20,01.09.20,Running,20000,8,,60.6,6,6,12,21.02.21,"Tek Bahadur Bista is an Engineer turned Entrepreneur who have established Betal Concrete Udhyog in his area. He had been running his consulting firm and stayed in Mahendranagar for a long time, but after the COVID Pandemic he returned to Dadeldhura to startup a business. As an engineer he was already familiar with the CSEB technology and happy to start an enterprise in his home town. "
195,Toya Raj Thakare,Darchula,Province 7 - Sudurpashchim,Sudurpashchim Province,Youth Entrepreneur,29.8075253,80.8758005,Male,Sep.20,01.09.20,Running,5000,2,,15.15,4,2,6,21.02.21,Toya Raj Thakare is young and energetic entrepreneur. He is belongs to the backward tribal community. He used to work as a farmer and a health worker in the local health post. He got inspired after seeing some houses built by CSEB that looked really great and realized this technology had big scope in his area.
196,Bijaya laxmi Shrestha,Banke,Province 5,Lumbini Province,Entrepreneur,28.0533918,81.6150337,Male,Oct.20,01.10.20,Running,20000,8,,60.6,,6,6,01.03.21,"Bijaya is a driven woman entrepreneur who previously worked as accountant and teacher. She decided to start her own business together with her husband. Bijaya got convinced with the interlocking brick and planned to start her enterprise in Nepalgunj. Her target customers are the poor and needy people living in temporary shelters in suburban areas around the city. Her husband has been working in advertising business, so she has good concept of business and planning to include government buildings, urban houses along with the rural construction works."
197,Bijay Upreti,Jhapa,Province 1,Province No. 1,Returning Migrant,26.7196561,88.0487831,Male,Sep.20,01.09.20,Running,13000,5,,39.39,6,4,10,01.03.21,"Bijaya Upreti is young and smart entrepreneur. He used to work as a journalist for a local newspaper and YouTube channel in Birtamod,Nepal. He decided to start his CSEB business after seeing the success of other entrepreneur's in a nearby location."
198,Mani Ram Dhami,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.83556563,80.90594581,Male,Oct.20,01.10.20,Running,25000,10,,75.75,6,8,14,21.02.21,"Maniram dhami is a teacher in local private school. He established the CSEB factory with a motive to create employment for his brothers, who returned from gulf country and produce good quality bricks locally. As he is involved in teaching with a lot of local connections he has been really good at convincing the people in his area to start building with CSEB."
199,Dipak Bikram Ghorasaini,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.76,85.58,Male,Feb.21,01.02.21,Running,,,,0,4,,4,27.02.21,"Dipak, 49 and his son Pratish, 27 was running a stone crushing and hollow concrete block business. They saw really good demand for CSEB interlocking bricks and thought it has the potential to replace fired bricks. They have a very good government advocacy to back their business. Dipak jee is also a very well respected humanitarian in the area."
200,Dipendra Chaulagain,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Youth Entrepreneur,28.6480468,80.639579,Male,Oct.20,01.10.20,Running,30000,12,,90.9,6,10,16,21.02.21,"Dipendra Chaulagain is a young entreprenuer of 25 years. He used to work as a tractor driver. Along with his uncle as a business partner, he introduced CSEB in his locality where all of the houses are prone to flood with a view to make a change in the locality and and also make a good living for himself and his family. "
201,Dam Singh Tamang,Ramechhap,Province 3 - Bagmati,Bagmati Province,DAG - Disadvantaged Groups,27.5099902,86.2930185,Male,Nov.20,01.11.20,Running,10000,4,,30.3,7,3,10,27.02.21,Dam Singh Tamang is young and energetic entrepreneur. His main business is traditional farming. He have two other partners whose name are Bire Tamang and Furba Tamang. The three friends belongs to a backward community and decided to start producing CSEB to build low-cost houses in their area. 
202,Kamal Panta,Nawalparasi,Province 5,Lumbini Province,Entrepreneur,27.5843459,83.6870322,Male,Oct.20,01.10.20,Running,3000,1,,9.09,5,1,6,27.02.21,Kamal Panta is energetic entrepreneur of 36 years from a middle class family. Kamal already had a hollow concrete block factory but wants to upgrade his business so that he can support his family with money. He decided to start producing CSEB as he saw a great market for low-cost housing in Nepal.
203,Raju Shrestha,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6921846,84.4340172,Male,Nov.20,01.11.20,Running,2000,1,,6.06,5,1,6,27.02.21,"Raju Shrestha, 54 got inspired after seeing the progress of another entrepreneur from Kalika Gaupalika. Raju Shrestha is a contractor, politician and also runs a hardware shop in the village. He first met our project representatives in Bharatpur where we invited all the potential entrepreneurs for a quick interaction about the feasibility of the business. He was impressed with the training and were very focused on quality. He has recently added a second machine in a different location and sees a very good future for Interlocking bricks in the coming days."
204,Chana Bahadur Gaha,Nawalparasi,Province 5,Lumbini Province,Returning Migrant,27.5960712,83.8632065,Male,Dec.20,01.12.20,Running,8000,3,,24.24,5,3,8,27.02.21,"Chana Bahadur Gaha, 28 returned from Dubai and started looking for alternatives to start his own business. After consulting with his father, both of them decided to travel to Kathmandu to learn more and after a lot of careful consideration, started a CSEB production. They run the enterprise as a family business, Anishs mother and sister are also involved in the enterprise. Anish says that after he has started this, he is very confident that he doesn't wish to go abroad again and wants to establish his business here in Nepal."
205,Roshan Luhar,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,DAG - Disadvantaged Groups,28.98690491,80.16793198,Male,Nov.20,01.11.20,Running,8000,3,,24.24,6,3,9,23.02.21,"Roshan Luhar is young and smart entrepreneur. He is from the agricultural sector and belongs to a backward community. Roshan and his team is happy on this CSEB technology, they said it is the best material to build houses both cheap and fast."
206,Madan Kumar Pradhan,Ilam,Province 1,Province No. 1,Youth Entrepreneur,26.8612417,88.1437782,Male,Nov.20,01.11.20,Running,3000,1,,9.09,5,1,6,25.02.21,"Madan kumar Pradhan is young and smart entrepreneur. The background of entrepreneur is from transportation sector and has his own sumo taxi and works as driver. He believes the market for CSEB technology will grow as more people can see the new buildings made.<br />
"
207,Prithivi Bahadur Shahi,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.627729,80.9650023,Male,Dec.20,01.12.20,Running,27000,11,,81.81,9,9,18,21.02.21,"Prithivi Singh Sahi is young, energetic and optimistic entrepreneur. He is 37 years old with a business background. He is running a hardware store from before and since he is already supplying construction material from there he have a lot of contacts to sell his bricks. "
208,Pradip kumar Tharu,Bardiya,Province 5,Lumbini Province,Entrepreneur,28.4187006,81.1306391,Male,Nov.20,01.11.20,Running,20000,8,,60.6,9,6,15,24.02.21,Pradip kumar Tharu wanted to start a small business so that he can support family with money and started researching different business ideas. Finally he found CSEB technology which is expanding rapidly in Western part of Nepal and started his enterprise seeing a great demand of low-cost bricks. 
209,Parmendra Joshi,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.98975786,80.16501374,Male,Nov.20,01.11.20,Running,15000,6,,45.45,,5,5,22.02.21,Parmendra Joshi is a driven entrepreneur with a positive attitude even in challenges. He is also involved in local politics. He started his business after the COVID lockdown and is really excited to try to take over the market from fired bricks.
210,Khairu Tamang,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.95585856,80.27409474,Male,Nov.20,01.11.20,Running,10000,4,,30.3,1,4,5,27.02.21,Khairu Tamang is an entrepreneur and a local politician. He is the District co-ordination committee chair person of kanchanpur District. He comes from a backward community. Khairu Tamang and his team is working hard and thinks quality is the most important when making bricks.
211,Sudip Gurung,Gorkha,Province 4 - Gandaki,Gandaki Province,Youth Entrepreneur,28.2212058,84.7968182,Male,Nov.20,01.11.20,Running,18000,7,,54.54,8,6,14,27.02.21,"Thirty years old, Sudip Gurung works in medical sector. Sudip already had pharmacy in Sano Renchuling but wanted to start a new business to that he can support family with money. He found a big scope for CSEB to build low-cost houses and decided to start his own production. "
212,DZI Foundation Rural school construction,Bhojpur,Province 1,Province No. 1,INGO/NGO project,27.1779842,87.0524338,Male,Nov.20,01.11.20,Running,25000,,2,75.75,,,0,,Technical partner for DZI for training in CSEB and construction of rural schools
213,Gauri Bartaula,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.56003831,85.0199986,Male,Nov.20,01.11.20,Running,14000,6,,42.42,4,4,8,27.02.21,"Thirty-three years old, Gaurishankar Bartaula is entrepreneur. He belongs in middle class family. He wants to start his new business to that he can support family with money so he starts to work out on new business ideas.  Finally he found CSEB technology which is expanding rapidly in Western part of Nepal"
214,Bhabi Lal Kumal,Nawalparasi,Province 5,Lumbini Province,Husband wife,27.6248226,84.0880284,Male & Female,Nov.20,01.11.20,Running,15000,6,1,45.45,10,5,15,27.02.21,"After losing his job in the COVID lockdown, Bhabi jee and his wife started looking for alternatives for low investment businesses and learnt about CSEB interlocking bricks through internet. Husband and wife, both are graduates and have a natural talent for business. After starting their CSEB enterprise none of them wants to return back to the factory where they were working before and instead want to concentrate on this business going forward."
215,Raj Kumari Devi,Siraha,Province 2,Province No. 2,Female Entrepreneur,26.631636,86.4415038,Female,Dec.20,01.12.20,Running,12000,5,,36.36,6,4,10,25.02.21,Raj Kumari Devi with her sons help has establish a CSEB business in her own locality. They are running the factory smoothly together. Both of them used to work in agriculture in their own farm. They are both really happy about the new business and hope to increase their income significantly.
216,Prem Rawal,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Youth Entrepreneur,28.7754741,80.2655846,Male,Dec.20,01.12.20,Running,10000,4,,30.3,6,4,10,27.02.21,"Prem Rawal is a young entrepreneur of 33 years. He used to work in farming as well as a part time truck driver. He has multi mold machine. He and his team is excited about CSEB technology, and have plans to expand in coming days."
217,Bal Bdr Shahi,Dailekh,Province 6 - Karnali,Karnali Province,Entrepreneur,28.68963801,81.79674133,Male,Dec.20,01.12.20,Running,30000,12,2,90.9,8,11,19,25.02.21,Bhupendra Shahi and Bal Bahadur Shahi are young entrepreneurs from a middle class family. Bhupendra and Bal Bahadur wanted to start their new business so that they can support family with money. They saw several other entrepreneurs doing well in CSEB and decided to start their own production thinking they have scope to manufacture a really efficient new construction material.
218,Indra Kaji Lama,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,28.0118821,85.7564107,Male,Dec.20,01.12.20,Running,,,,0,,,0,04.03.21,"Indra kaji Sherpa Lama is a positive optimistic active entrepreneur. The background of entrepreneur is Social Service. He is from medium class family. Indra kaji Sherpa and his team is happy on this CSEB technology, they said it is very easy to produce and to build and they believe this can replace fired bricks in their location.<br />
"
219,Krishna Bahadur Thapa Magar,Nawalparasi,Province 5,Lumbini Province,Entrepreneur,27.6498409,83.8897057,Male,Jan.21,01.01.21,Running,2500,1,,7.575,5,1,6,27.02.21,"Krishna Thapa Magar was running a Agrovet store before staring this business. He partnered with his neighbour who had a construction business and started producing these bricks. In a very short time, they have been able to capture good share of the market and are looking to aggresivly expand their business to other parts of Nawalparasi."
220,Manju Gharti Magar,Makwanpur,Province 3 - Bagmati,Bagmati Province,Returning Migrant,27.404766,85.0707492,Male,Jan.21,01.01.21,Running,4800,2,,14.544,4,2,6,27.02.21,"Chandra Pokharel, 42 returned from Dubai after 11 years in foreign employment as a cleaner in a car wash. He has recently started and is very confident about the market of the CSEB. He is working with his brother Krishna in the business."
221,Rabindra Chaudhary,Udayapur,Province 1,Province No. 1,DAG - Disadvantaged Groups,26.8517875,86.6611083,Male,Jan.21,01.01.21,Running,6000,2,,18.18,4,2,6,21.02.21,Rabindra  Chaudhary was working as a radio technician and wanted to something of his own so he found out about CSEB entrepreneurship from Build Up Nepal social media and contacted us to get his own business started.
222,Prakash Jaisi,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.69313553,80.36159506,Male,Jan.21,01.01.21,Running,,,,0,,,0,03.03.21,Prakash Jaisi was working as an armed police in Nepal army before taking a voluntary retirement to start his own enterprise. He has always wanted to run his own business and thought this was the right time and opportunity. 
223,Puspa Kumari Poudel,Rupandehi,Province 5,Lumbini Province,Female Entrepreneur,27.45722723,83.34735858,Female,Jan.21,01.01.21,Running,8000,3,,24.24,4,3,7,01.03.21,Puspa is an independent woman who is a full time engaged in a grocery shop. She found out about the business from her cousin and she added a machine right next to her shop where she is involved part time in both and supervises the production. Her husband also supports her in the business.
224,Ganesh Bahadur BK,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Returning Migrant,28.5981653,81.0423429,Male,Feb.21,01.02.21,Running,,,,0,4,0,4,23.02.21,"Ganesh was working in India in the construction sector. After seeing the demand in India for these bricks, he decided to establish these brick factory in his hometown of Dhangadhi. He is really happy about being able to live with his family after almost 11 years away from them."
